h,k,l,|G|,2theta,d,I
-4,-1,0,8.095698964634494,165.95891167286584,0.09586744807417698,3.913592048216154
-4,0,-1,8.095698964634494,165.95891167286584,0.09586744807417698,3.913592048216154
-4,0,0,7.853981633974482,148.67504338055255,0.10185916357881304,1.9458405145752373
-4,0,1,8.095698964634494,165.95891167286584,0.09586744807417698,3.913592048216154
-4,1,0,8.095698964634494,165.95891167286584,0.09586744807417698,3.913592048216154
-3,-2,-2,8.095698964634494,165.95891167286584,0.09586744807417698,3.913592048216154
-3,-2,-1,7.3467270990868725,128.4955170721603,0.11641047266150062,1.436841785104766
-3,-2,0,7.0794833744618595,120.43522088984767,0.12536512440469297,1.3616665043183027
-3,-2,1,7.3467270990868725,128.4955170721603,0.11641047266150062,1.436841785104766
-3,-2,2,8.095698964634494,165.95891167286584,0.09586744807417698,3.913592048216154
-3,-1,-2,7.3467270990868725,128.4955170721603,0.11641047266150062,1.436841785104766
-3,-1,-1,6.512177547558944,105.94919100847936,0.1481587833873644,1.3802828024403377
-3,-1,0,6.209117666122562,99.14278056340999,0.16297466172610084,1.4572245821722893
-3,-1,1,6.512177547558944,105.94919100847936,0.1481587833873644,1.3802828024403377
-3,-1,2,7.3467270990868725,128.4955170721603,0.11641047266150062,1.436841785104766
-3,0,-2,7.0794833744618595,120.43522088984767,0.12536512440469297,1.3616665043183027
-3,0,-1,6.209117666122562,99.14278056340999,0.16297466172610084,1.4572245821722893
-3,0,0,5.890486225480862,92.46480862733866,0.1810829574734454,1.5270795554605152
-3,0,1,6.209117666122562,99.14278056340999,0.16297466172610084,1.4572245821722893
-3,0,2,7.0794833744618595,120.43522088984767,0.12536512440469297,1.3616665043183027
-3,1,-2,7.3467270990868725,128.4955170721603,0.11641047266150062,1.436841785104766
-3,1,-1,6.512177547558944,105.94919100847936,0.1481587833873644,1.3802828024403377
-3,1,0,6.209117666122562,99.14278056340999,0.16297466172610084,1.4572245821722893
-3,1,1,6.512177547558944,105.94919100847936,0.1481587833873644,1.3802828024403377
-3,1,2,7.3467270990868725,128.4955170721603,0.11641047266150062,1.436841785104766
-3,2,-2,8.095698964634494,165.95891167286584,0.09586744807417698,3.913592048216154
-3,2,-1,7.3467270990868725,128.4955170721603,0.11641047266150062,1.436841785104766
-3,2,0,7.0794833744618595,120.43522088984767,0.12536512440469297,1.3616665043183027
-3,2,1,7.3467270990868725,128.4955170721603,0.11641047266150062,1.436841785104766
-3,2,2,8.095698964634494,165.95891167286584,0.09586744807417698,3.913592048216154
-2,-3,-2,8.095698964634494,165.95891167286584,0.09586744807417698,3.913592048216154
-2,-3,-1,7.346727099086873,128.49551707216034,0.1164104726615006,1.436841785104766
-2,-3,0,7.07948337446186,120.4352208898477,0.12536512440469297,1.3616665043183032
-2,-3,1,7.346727099086873,128.49551707216034,0.1164104726615006,1.436841785104766
-2,-3,2,8.095698964634494,165.95891167286584,0.09586744807417698,3.913592048216154
-2,-2,-3,8.095698964634494,165.95891167286584,0.09586744807417698,3.913592048216154
-2,-2,-2,6.801747615878316,112.99646559692042,0.13581221810508404,1.3720846811792695
-2,-2,-1,5.890486225480862,92.46480862733866,0.1810829574734454,1.5270795554605152
