h,k,l,|G|,2theta,d,I
-4,-1,0,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-4,0,-1,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-4,0,0,7.853981633974482,148.67504338055255,0.10185916357881304,152.31966568161437
-4,0,1,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-4,1,0,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-3,-2,-2,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-3,-2,-1,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-3,-2,0,7.0794833744618595,120.43522088984767,0.12536512440469297,2.704063131523361
-3,-2,1,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-3,-2,2,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-3,-1,-2,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-3,-1,-1,6.512177547558944,105.94919100847936,0.1481587833873644,3.101049371939289
-3,-1,0,6.209117666122562,99.14278056340999,0.16297466172610084,167.85163086047456
-3,-1,1,6.512177547558944,105.94919100847936,0.1481587833873644,3.101049371939289
-3,-1,2,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-3,0,-2,7.0794833744618595,120.43522088984767,0.12536512440469297,2.704063131523361
-3,0,-1,6.209117666122562,99.14278056340999,0.16297466172610084,167.85163086047456
-3,0,0,5.890486225480862,92.46480862733866,0.1810829574734454,4.077132810604157
-3,0,1,6.209117666122562,99.14278056340999,0.16297466172610084,167.85163086047456
-3,0,2,7.0794833744618595,120.43522088984767,0.12536512440469297,2.704063131523361
-3,1,-2,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-3,1,-1,6.512177547558944,105.94919100847936,0.1481587833873644,3.101049371939289
-3,1,0,6.209117666122562,99.14278056340999,0.16297466172610084,167.85163086047456
-3,1,1,6.512177547558944,105.94919100847936,0.1481587833873644,3.101049371939289
-3,1,2,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-3,2,-2,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-3,2,-1,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-3,2,0,7.0794833744618595,120.43522088984767,0.12536512440469297,2.704063131523361
-3,2,1,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-3,2,2,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-2,-3,-2,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-2,-3,-1,7.346727099086873,128.49551707216034,0.1164104726615006,125.34367356078852
-2,-3,0,7.07948337446186,120.4352208898477,0.12536512440469297,2.7040631315233616
-2,-3,1,7.346727099086873,128.49551707216034,0.1164104726615006,125.34367356078852
-2,-3,2,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-2,-2,-3,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-2,-2,-2,6.801747615878316,112.99646559692042,0.13581221810508404,135.92742197998987
-2,-2,-1,5.890486225480862,92.46480862733866,0.1810829574734454,4.077132810604157
-2,-2,0,5.553603672697957,85.82036157982836,0.20371832715762608,231.32133414262722
-2,-2,1,5.890486225480862,92.46480862733866,0.1810829574734454,4.077132810604157
-2,-2,2,6.801747615878316,112.99646559692042,0.13581221810508404,135.92742197998987
-2,-2,3,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-2,-1,-3,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-2,-1,-2,5.890486225480862,92.46480862733866,0.1810829574734454,4.077132810604157
-2,-1,-1,4.80956186310699,72.26212003011906,0.2716244362101681,361.53311258133954
-2,-1,0,4.390509206900454,65.1305350321281,0.3259493234522017,11.255037472432885
-2,-1,1,4.80956186310699,72.26212003011906,0.2716244362101681,361.53311258133954
-2,-1,2,5.890486225480862,92.46480862733866,0.1810829574734454,4.077132810604157
-2,-1,3,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-2,0,-3,7.07948337446186,120.4352208898477,0.12536512440469297,2.7040631315233616
-2,0,-2,5.553603672697957,85.82036157982836,0.20371832715762608,231.32133414262722
-2,0,-1,4.390509206900454,65.1305350321281,0.3259493234522017,11.255037472432885
-2,0,0,3.926990816987241,57.55825055359985,0.40743665431525217,679.3267852452329
-2,0,1,4.390509206900454,65.1305350321281,0.3259493234522017,11.255037472432885
-2,0,2,5.553603672697957,85.82036157982836,0.20371832715762608,231.32133414262722
-2,0,3,7.07948337446186,120.4352208898477,0.12536512440469297,2.7040631315233616
-2,1,-3,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-2,1,-2,5.890486225480862,92.46480862733866,0.1810829574734454,4.077132810604157
-2,1,-1,4.80956186310699,72.26212003011906,0.2716244362101681,361.53311258133954
-2,1,0,4.390509206900454,65.1305350321281,0.3259493234522017,11.255037472432885
-2,1,1,4.80956186310699,72.26212003011906,0.2716244362101681,361.53311258133954
-2,1,2,5.890486225480862,92.46480862733866,0.1810829574734454,4.077132810604157
-2,1,3,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-2,2,-3,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-2,2,-2,6.801747615878316,112.99646559692042,0.13581221810508404,135.92742197998987
-2,2,-1,5.890486225480862,92.46480862733866,0.1810829574734454,4.077132810604157
-2,2,0,5.553603672697957,85.82036157982836,0.20371832715762608,231.32133414262722
-2,2,1,5.890486225480862,92.46480862733866,0.1810829574734454,4.077132810604157
-2,2,2,6.801747615878316,112.99646559692042,0.13581221810508404,135.92742197998987
-2,2,3,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-2,3,-2,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-2,3,-1,7.346727099086873,128.49551707216034,0.1164104726615006,125.34367356078852
-2,3,0,7.07948337446186,120.4352208898477,0.12536512440469297,2.7040631315233616
-2,3,1,7.346727099086873,128.49551707216034,0.1164104726615006,125.34367356078852
-2,3,2,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-1,-4,0,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-1,-3,-2,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-1,-3,-1,6.512177547558944,105.94919100847936,0.1481587833873644,3.101049371939289
-1,-3,0,6.209117666122562,99.14278056340999,0.16297466172610084,167.85163086047456
-1,-3,1,6.512177547558944,105.94919100847936,0.1481587833873644,3.101049371939289
-1,-3,2,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-1,-2,-3,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-1,-2,-2,5.890486225480862,92.46480862733866,0.1810829574734454,4.077132810604157
-1,-2,-1,4.80956186310699,72.26212003011906,0.2716244362101681,361.53311258133954
-1,-2,0,4.390509206900454,65.1305350321281,0.3259493234522017,11.255037472432885
-1,-2,1,4.80956186310699,72.26212003011906,0.2716244362101681,361.53311258133954
-1,-2,2,5.890486225480862,92.46480862733866,0.1810829574734454,4.077132810604157
-1,-2,3,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-1,-1,-3,6.512177547558944,105.94919100847936,0.14815878338736443,3.101049371939289
-1,-1,-2,4.80956186310699,72.26212003011906,0.2716244362101681,361.53311258133954
-1,-1,-1,3.400873807939158,49.282388007561146,0.5432488724203361,27.20458495549324
-1,-1,0,2.7768018363489784,39.80560125597135,0.8148733086305043,1866.086740669839
-1,-1,1,3.400873807939158,49.282388007561146,0.5432488724203361,27.20458495549324
-1,-1,2,4.80956186310699,72.26212003011906,0.2716244362101681,361.53311258133954
-1,-1,3,6.512177547558944,105.94919100847936,0.14815878338736443,3.101049371939289
-1,0,-4,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-1,0,-3,6.209117666122562,99.14278056340999,0.16297466172610084,167.85163086047456
-1,0,-2,4.390509206900454,65.1305350321281,0.3259493234522017,11.255037472432885
-1,0,-1,2.7768018363489784,39.80560125597135,0.8148733086305043,1866.086740669839
-1,0,0,1.9634954084936205,27.85774640642678,1.6297466172610087,129.0949410948763
-1,0,1,2.7768018363489784,39.80560125597135,0.8148733086305043,1866.086740669839
-1,0,2,4.390509206900454,65.1305350321281,0.3259493234522017,11.255037472432885
-1,0,3,6.209117666122562,99.14278056340999,0.16297466172610084,167.85163086047456
-1,0,4,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
-1,1,-3,6.512177547558944,105.94919100847936,0.14815878338736443,3.101049371939289
-1,1,-2,4.80956186310699,72.26212003011906,0.2716244362101681,361.53311258133954
-1,1,-1,3.400873807939158,49.282388007561146,0.5432488724203361,27.20458495549324
-1,1,0,2.7768018363489784,39.80560125597135,0.8148733086305043,1866.086740669839
-1,1,1,3.400873807939158,49.282388007561146,0.5432488724203361,27.20458495549324
-1,1,2,4.80956186310699,72.26212003011906,0.2716244362101681,361.53311258133954
-1,1,3,6.512177547558944,105.94919100847936,0.14815878338736443,3.101049371939289
-1,2,-3,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-1,2,-2,5.890486225480862,92.46480862733866,0.1810829574734454,4.077132810604157
-1,2,-1,4.80956186310699,72.26212003011906,0.2716244362101681,361.53311258133954
-1,2,0,4.390509206900454,65.1305350321281,0.3259493234522017,11.255037472432885
-1,2,1,4.80956186310699,72.26212003011906,0.2716244362101681,361.53311258133954
-1,2,2,5.890486225480862,92.46480862733866,0.1810829574734454,4.077132810604157
-1,2,3,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-1,3,-2,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-1,3,-1,6.512177547558944,105.94919100847936,0.1481587833873644,3.101049371939289
-1,3,0,6.209117666122562,99.14278056340999,0.16297466172610084,167.85163086047456
-1,3,1,6.512177547558944,105.94919100847936,0.1481587833873644,3.101049371939289
-1,3,2,7.3467270990868725,128.4955170721603,0.11641047266150062,125.34367356078852
-1,4,0,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
0,-4,-1,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
0,-4,0,7.853981633974482,148.67504338055255,0.10185916357881304,152.31966568161437
0,-4,1,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
0,-3,-2,7.0794833744618595,120.43522088984767,0.12536512440469297,2.704063131523361
0,-3,-1,6.209117666122562,99.14278056340999,0.16297466172610084,167.85163086047456
0,-3,0,5.890486225480862,92.46480862733866,0.1810829574734454,4.077132810604157
0,-3,1,6.209117666122562,99.14278056340999,0.16297466172610084,167.85163086047456
0,-3,2,7.0794833744618595,120.43522088984767,0.12536512440469297,2.704063131523361
0,-2,-3,7.07948337446186,120.4352208898477,0.12536512440469297,2.7040631315233616
0,-2,-2,5.553603672697957,85.82036157982836,0.20371832715762608,231.32133414262722
0,-2,-1,4.390509206900454,65.1305350321281,0.3259493234522017,11.255037472432885
0,-2,0,3.926990816987241,57.55825055359985,0.40743665431525217,679.3267852452329
0,-2,1,4.390509206900454,65.1305350321281,0.3259493234522017,11.255037472432885
0,-2,2,5.553603672697957,85.82036157982836,0.20371832715762608,231.32133414262722
0,-2,3,7.07948337446186,120.4352208898477,0.12536512440469297,2.7040631315233616
0,-1,-4,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
0,-1,-3,6.209117666122562,99.14278056340999,0.16297466172610084,167.85163086047456
0,-1,-2,4.390509206900454,65.1305350321281,0.3259493234522017,11.255037472432885
0,-1,-1,2.7768018363489784,39.80560125597135,0.8148733086305043,1866.086740669839
0,-1,0,1.9634954084936205,27.85774640642678,1.6297466172610087,129.0949410948763
0,-1,1,2.7768018363489784,39.80560125597135,0.8148733086305043,1866.086740669839
0,-1,2,4.390509206900454,65.1305350321281,0.3259493234522017,11.255037472432885
0,-1,3,6.209117666122562,99.14278056340999,0.16297466172610084,167.85163086047456
0,-1,4,8.095698964634494,165.95891167286584,0.09586744807417698,6.754216159897542
0,0,-4,7.853981633974482,148.67504338055255,0.10185916357881304,152.31966568161437
0,0,-3,5.890486225480862,92.46480862733866,0.1810829574734454,4.077132810604157
0,0,-2,3.926990816987241,57.55825055359985,0.40743665431525217,679.3267852452329
0,0,-1,1.9634954084936205,27.85774640642678,1.6297466172610087,129.0949410948763
0,0,1,1.9634954084936205,27.85774640642678,1.6297466172610087,129.0949410948763
0,0,2,3.926990816987241,57.55825055359985,0.40743665431525217,679.3267852452329
0,0,3,5.890486225480862,92.46480862733866,0.1810829574734454,4.077132810604157
